pk_l2;pk_l3;un_pk_l3;un_code_l3;classificationDesc;classificationType;typeCode;desc_l3;updateMark;updateMark_TZ
G-LVL02-IDX-0000;G-LVL03-IDX-0000;HS-C-010110;010110;HS;Goods;C;Live horses/asses/mules/hinnies: pure-bred breeding animals;2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0000;G-LVL03-IDX-0001;HS-C-010111;010111;HS;Goods;C;Horses, live pure-bred breeding;2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0000;G-LVL03-IDX-0002;HS-C-010119;010119;HS;Goods;C;Horses, live except pure-bred breeding;2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0000;G-LVL03-IDX-0003;HS-C-010120;010120;HS;Goods;C;Asses, mules and hinnies, live;2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0000;G-LVL03-IDX-0004;HS-C-010121;010121;HS;Goods;C;"Horses; live, pure-bred breeding animals";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0000;G-LVL03-IDX-0005;HS-C-010129;010129;HS;Goods;C;"Horses; live, other than pure-bred breeding animals";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0000;G-LVL03-IDX-0006;HS-C-010130;010130;HS;Goods;C;"Asses; live";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0000;G-LVL03-IDX-0007;HS-C-010190;010190;HS;Goods;C;"Mules and hinnies; live";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0001;G-LVL03-IDX-0008;HS-C-010210;010210;HS;Goods;C;Live bovine animals: pure-bred breeding animals;2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0001;G-LVL03-IDX-0009;HS-C-010221;010221;HS;Goods;C;"Cattle; live, pure-bred breeding animals";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0001;G-LVL03-IDX-0010;HS-C-010229;010229;HS;Goods;C;"Cattle; live, other than pure-bred breeding animals";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0001;G-LVL03-IDX-0011;HS-C-010231;010231;HS;Goods;C;"Buffalo; live, pure-bred breeding animals";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0001;G-LVL03-IDX-0012;HS-C-010239;010239;HS;Goods;C;"Buffalo; live, other than pure-bred breeding animals";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0001;G-LVL03-IDX-0013;HS-C-010290;010290;HS;Goods;C;"Bovine animals; live, other than cattle and buffalo";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0002;G-LVL03-IDX-0014;HS-C-010310;010310;HS;Goods;C;"Swine; live, pure-bred breeding animals";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0002;G-LVL03-IDX-0015;HS-C-010391;010391;HS;Goods;C;"Swine; live, other than pure-bred breeding animals, weighing less than 50kg";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0002;G-LVL03-IDX-0016;HS-C-010392;010392;HS;Goods;C;"Swine; live, other than pure-bred breeding animals, weighing 50kg or more";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0003;G-LVL03-IDX-0017;HS-C-010410;010410;HS;Goods;C;"Sheep; live";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0003;G-LVL03-IDX-0018;HS-C-010420;010420;HS;Goods;C;"Goats; live";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0004;G-LVL03-IDX-0019;HS-C-010511;010511;HS;Goods;C;"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0004;G-LVL03-IDX-0020;HS-C-010512;010512;HS;Goods;C;"Poultry; live, turkeys, weighing not more than 185g";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0004;G-LVL03-IDX-0021;HS-C-010513;010513;HS;Goods;C;"Poultry; live, ducks, weighing not more than 185g";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0004;G-LVL03-IDX-0022;HS-C-010514;010514;HS;Goods;C;"Poultry; live, geese, weighing not more than 185g";2023-06-27 13:59:10;Eastern Standard Time
