pk_l2;pk_l3;un_pk_l3;un_code_l3;classificationDesc;classificationType;typeCode;desc_l3;updateMark;updateMark_TZ
G-LVL02-IDX-0041;G-LVL03-IDX-0454;HS-C-050710;050710;HS;Goods;C;"Animal products; ivory, unworked or simply prepared but not cut to shape, ivory powder and waste";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0041;G-LVL03-IDX-0455;HS-C-050790;050790;HS;Goods;C;"Animal products; tortoise-shell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and beaks, unworked or simply prepared but not cut to shape, waste and powder of these products";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0042;G-LVL03-IDX-0456;HS-C-050800;050800;HS;Goods;C;"Animal products; coral and similar materials, shells of molluscs, crustaceans, echinoderms, cuttle-bone, unworked or simply prepared but not cut to shape, powder and waste thereof";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0043;G-LVL03-IDX-0457;HS-C-050900;050900;HS;Goods;C;Sponges, natural, of animal origin;2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0044;G-LVL03-IDX-0458;HS-C-051000;051000;HS;Goods;C;"Animal products; ambergris, castoreum, civet, musk, cantharides, bile (dried or not) glands and other animal products, for pharmaceutical purposes, fresh, chilled, frozen or otherwise provisionally preserved";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0045;G-LVL03-IDX-0459;HS-C-051110;051110;HS;Goods;C;"Animal products; bovine semen";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0045;G-LVL03-IDX-0460;HS-C-051191;051191;HS;Goods;C;"Animal products; of fish or crustaceans, molluscs or other aquatic invertebrates; dead animals of chapter 03, unfit for human consumption";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0045;G-LVL03-IDX-0461;HS-C-051199;051199;HS;Goods;C;"Animal products; n.e.c. in chapter 5";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0046;G-LVL03-IDX-0462;HS-C-060110;060110;HS;Goods;C;"Plants, live; bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0046;G-LVL03-IDX-0463;HS-C-060120;060120;HS;Goods;C;"Plants, live; bulbs, tubers, tuberous roots, corms, crowns and rhizomes, in growth or in flower, chicory plants and roots other than of heading no. 1212";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0047;G-LVL03-IDX-0464;HS-C-060210;060210;HS;Goods;C;"Plants, live; unrooted cuttings and slips";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0047;G-LVL03-IDX-0465;HS-C-060220;060220;HS;Goods;C;"Plants, live; edible fruit or nut trees, shrubs and bushes, grafted or not";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0047;G-LVL03-IDX-0466;HS-C-060230;060230;HS;Goods;C;"Plants, live; rhododendrons and azaleas, grafted or not";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0047;G-LVL03-IDX-0467;HS-C-060240;060240;HS;Goods;C;"Plants, live; roses, grafted or not";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0047;G-LVL03-IDX-0468;HS-C-060290;060290;HS;Goods;C;"Plants, live; n.e.c. in heading no. 0602";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0047;G-LVL03-IDX-0469;HS-C-060291;060291;HS;Goods;C;Mushroom spawn;2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0047;G-LVL03-IDX-0470;HS-C-060299;060299;HS;Goods;C;Plants, live (including their roots),nes;2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0048;G-LVL03-IDX-0471;HS-C-060310;060310;HS;Goods;C;Cut flowers and flower buds for bouquets, etc., fresh;2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0048;G-LVL03-IDX-0472;HS-C-060311;060311;HS;Goods;C;"Flowers, cut; roses, flowers and buds of a kind suitable for bouquets or ornamental purposes, fresh";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0048;G-LVL03-IDX-0473;HS-C-060312;060312;HS;Goods;C;"Flowers, cut; carnations, flowers and buds of a kind suitable for bouquets or ornamental purposes, fresh";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0048;G-LVL03-IDX-0474;HS-C-060313;060313;HS;Goods;C;"Flowers, cut; orchids, flowers and buds of a kind suitable for bouquets or ornamental purposes, fresh";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0048;G-LVL03-IDX-0475;HS-C-060314;060314;HS;Goods;C;"Flowers, cut; chrysanthemums, flowers and buds of a kind suitable for bouquets or ornamental purposes, fresh";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0048;G-LVL03-IDX-0476;HS-C-060315;060315;HS;Goods;C;"Flowers, cut; lilies (Lilium spp.), flowers and flower buds of a kind suitable for bouquets or ornamental purposes, fresh";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0048;G-LVL03-IDX-0477;HS-C-060319;060319;HS;Goods;C;"Flowers, cut; flowers and buds of a kind suitable for bouquets or ornamental purposes, fresh, other than roses, carnations, orchids, chrysanthemums or lillies";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0048;G-LVL03-IDX-0478;HS-C-060390;060390;HS;Goods;C;"Flowers, cut; flowers and flower buds of a kind suitable for bouquets or ornamental purposes, dried, dyed, bleached, impregnated or otherwise prepared";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0049;G-LVL03-IDX-0479;HS-C-060410;060410;HS;Goods;C;Mosses & lichens;2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0049;G-LVL03-IDX-0480;HS-C-060420;060420;HS;Goods;C;"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens; suitable for bouquets or for ornamental purposes, fresh";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0049;G-LVL03-IDX-0481;HS-C-060490;060490;HS;Goods;C;"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens; suitable for bouquets or for ornamental purposes, dried, dyed, bleached, impregnated or otherwise prepared";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0049;G-LVL03-IDX-0482;HS-C-060491;060491;HS;Goods;C;Foliage, branches & other parts of plants, without flowers/flower buds, & grasses, mosses & lichens, being goods of a kind suit. for bouquets/ornamental purposes, fresh;2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0049;G-LVL03-IDX-0483;HS-C-060499;060499;HS;Goods;C;Foliage, branches & other parts of plants, without flowers/flower buds/grasses (excl. of 0604.10), being goods of a kind suitable for bouquets/ornamental purposes, dried/dyed/bleached/impregnated/othw. prepared;2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0050;G-LVL03-IDX-0484;HS-C-070110;070110;HS;Goods;C;"Vegetables; seed potatoes, fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0050;G-LVL03-IDX-0485;HS-C-070190;070190;HS;Goods;C;"Vegetables; potatoes (other than seed), fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0051;G-LVL03-IDX-0486;HS-C-070200;070200;HS;Goods;C;"Vegetables; tomatoes, fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0052;G-LVL03-IDX-0487;HS-C-070310;070310;HS;Goods;C;"Vegetables, alliaceous; onions and shallots, fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0052;G-LVL03-IDX-0488;HS-C-070320;070320;HS;Goods;C;"Vegetables, alliaceous; garlic, fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0052;G-LVL03-IDX-0489;HS-C-070390;070390;HS;Goods;C;"Vegetables, alliaceous; leeks and other kinds n.e.c. in heading no. 0703, fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0053;G-LVL03-IDX-0490;HS-C-070410;070410;HS;Goods;C;"Vegetables, brassica; cauliflowers and broccoli, fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0053;G-LVL03-IDX-0491;HS-C-070420;070420;HS;Goods;C;"Vegetables, brassica; brussel sprouts, fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0053;G-LVL03-IDX-0492;HS-C-070490;070490;HS;Goods;C;"Vegetables, brassica; edible, n.e.c. in heading no. 0704, fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0054;G-LVL03-IDX-0493;HS-C-070511;070511;HS;Goods;C;"Vegetables; cabbage (head) lettuce (lactuca sativa), fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0054;G-LVL03-IDX-0494;HS-C-070519;070519;HS;Goods;C;"Vegetables; lettuce (lactuca sativa), (other than cabbage lettuce), fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0054;G-LVL03-IDX-0495;HS-C-070521;070521;HS;Goods;C;"Vegetables; witloff chicory (cichorium intybus var. foliosum), fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0054;G-LVL03-IDX-0496;HS-C-070529;070529;HS;Goods;C;"Vegetables; chicory (cichorium spp.), (other than witloof chicory), fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0055;G-LVL03-IDX-0497;HS-C-070610;070610;HS;Goods;C;"Vegetables, root; carrots and turnips, fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0055;G-LVL03-IDX-0498;HS-C-070690;070690;HS;Goods;C;"Vegetables, root; salad beetroot, salsify, celeric, radishes and similar edible roots, fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0056;G-LVL03-IDX-0499;HS-C-070700;070700;HS;Goods;C;"Vegetables; cucumbers and gherkins, fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0057;G-LVL03-IDX-0500;HS-C-070810;070810;HS;Goods;C;"Vegetables, leguminous; peas (pisum sativum), shelled or unshelled, fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0057;G-LVL03-IDX-0501;HS-C-070820;070820;HS;Goods;C;"Vegetables, leguminous; beans (vigna spp., phaseolus spp.), shelled or unshelled, fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0057;G-LVL03-IDX-0502;HS-C-070890;070890;HS;Goods;C;"Vegetables, leguminous; (other than peas and beans), shelled or unshelled, fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0058;G-LVL03-IDX-0503;HS-C-070910;070910;HS;Goods;C;Globe artichokes, fresh or chilled;2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0058;G-LVL03-IDX-0504;HS-C-070920;070920;HS;Goods;C;"Vegetables; asparagus, fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0058;G-LVL03-IDX-0505;HS-C-070930;070930;HS;Goods;C;"Vegetables; aubergines, (e.g. plants), fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0058;G-LVL03-IDX-0506;HS-C-070940;070940;HS;Goods;C;"Vegetables; celery (other than celeriac), fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0058;G-LVL03-IDX-0507;HS-C-070951;070951;HS;Goods;C;"Vegetables; mushrooms of the genus Agaricus, fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0058;G-LVL03-IDX-0508;HS-C-070952;070952;HS;Goods;C;"Vegetables; mushrooms of the genus Boletus, fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0058;G-LVL03-IDX-0509;HS-C-070953;070953;HS;Goods;C;"Vegetables; mushrooms of the genus Cantharellus, fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0058;G-LVL03-IDX-0510;HS-C-070954;070954;HS;Goods;C;"Vegetables; shiitake mushrooms (Lentinus edodes), fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0058;G-LVL03-IDX-0511;HS-C-070955;070955;HS;Goods;C;"Vegetables; matsutake mushrooms (Tricholoma matsutake, Tricholoma magnivelare, Tricholoma anatolicum, Tricholoma dulciolens, Tricholoma caligatum), fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0058;G-LVL03-IDX-0512;HS-C-070956;070956;HS;Goods;C;"Vegetables; truffles (Tuber spp.), fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0058;G-LVL03-IDX-0513;HS-C-070959;070959;HS;Goods;C;"Vegetables; truffles and mushrooms n.e.c. in heading 0709, fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0058;G-LVL03-IDX-0514;HS-C-070960;070960;HS;Goods;C;"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0058;G-LVL03-IDX-0515;HS-C-070970;070970;HS;Goods;C;"Vegetables; spinach, New Zealand spinach and orache spinach (garden spinach), fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0058;G-LVL03-IDX-0516;HS-C-070990;070990;HS;Goods;C;Vegetables,n.e.s. in 07.01-07.09, fresh/chilled;2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0058;G-LVL03-IDX-0517;HS-C-070991;070991;HS;Goods;C;"Vegetables; globe artichokes, fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0058;G-LVL03-IDX-0518;HS-C-070992;070992;HS;Goods;C;"Vegetables; olives, fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0058;G-LVL03-IDX-0519;HS-C-070993;070993;HS;Goods;C;"Vegetables; pumpkins, squash and gourds (Cucurbita spp.), fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0058;G-LVL03-IDX-0520;HS-C-070999;070999;HS;Goods;C;"Vegetables; edible, n.e.c. in chapter 07, fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0059;G-LVL03-IDX-0521;HS-C-071010;071010;HS;Goods;C;"Vegetables; potatoes, uncooked or cooked by steaming or boiling in water, frozen";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0059;G-LVL03-IDX-0522;HS-C-071021;071021;HS;Goods;C;"Vegetables, leguminous; peas (pisum sativum), shelled or unshelled, uncooked or cooked by steaming or boiling in water, frozen";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0059;G-LVL03-IDX-0523;HS-C-071022;071022;HS;Goods;C;"Vegetables, leguminous; beans (vigna spp., phaseolus spp.), shelled or unshelled, uncooked or cooked by steaming or boiling in water, frozen";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0059;G-LVL03-IDX-0524;HS-C-071029;071029;HS;Goods;C;"Vegetables, leguminous; (other than peas or beans), shelled or unshelled, uncooked or cooked by steaming or boiling in water, frozen";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0059;G-LVL03-IDX-0525;HS-C-071030;071030;HS;Goods;C;"Vegetables; spinach, New Zealand spinach and orache spinach (garden spinach), uncooked or cooked by steaming or boiling in water, frozen";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0059;G-LVL03-IDX-0526;HS-C-071040;071040;HS;Goods;C;"Vegetables; sweetcorn, uncooked or cooked by steaming or boiling in water, frozen";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0059;G-LVL03-IDX-0527;HS-C-071080;071080;HS;Goods;C;"Vegetables; uncooked or cooked by steaming or boiling in water, n.e.c. in heading no. 0710, frozen";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0059;G-LVL03-IDX-0528;HS-C-071090;071090;HS;Goods;C;"Vegetable mixtures; uncooked or cooked by steaming or boiling in water, frozen";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0060;G-LVL03-IDX-0529;HS-C-071110;071110;HS;Goods;C;Onions, provisionally preserved;2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0060;G-LVL03-IDX-0530;HS-C-071120;071120;HS;Goods;C;"Vegetables; olives, provisionally preserved but unsuitable in that state for immediate consumption";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0060;G-LVL03-IDX-0531;HS-C-071130;071130;HS;Goods;C;Capers, provisionally preserved;2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0060;G-LVL03-IDX-0532;HS-C-071140;071140;HS;Goods;C;"Vegetables; cucumbers and gherkins, provisionally preserved but unsuitable in that state for immediate consumption";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0060;G-LVL03-IDX-0533;HS-C-071151;071151;HS;Goods;C;"Vegetables; mushrooms of the genus Agaricus, provisionally preserved but unsuitable in that state for immediate consumption";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0060;G-LVL03-IDX-0534;HS-C-071159;071159;HS;Goods;C;"Vegetables; mushrooms other than of the genus Agaricus, provisionally preserved but unsuitable in that state for immediate consumption";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0060;G-LVL03-IDX-0535;HS-C-071190;071190;HS;Goods;C;"Vegetables and mixed vegetables; n.e.c. in heading no. 0711, provisionally preserved but unsuitable in that state for immediate consumption";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0061;G-LVL03-IDX-0536;HS-C-071210;071210;HS;Goods;C;Potatoes, dried, not further prepared;2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0061;G-LVL03-IDX-0537;HS-C-071220;071220;HS;Goods;C;"Vegetables; onions, whole, cut, sliced, broken or in powder but not further prepared, dried";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0061;G-LVL03-IDX-0538;HS-C-071230;071230;HS;Goods;C;Mushrooms and truffles, dried, not further prepared;2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0061;G-LVL03-IDX-0539;HS-C-071231;071231;HS;Goods;C;"Vegetables; mushrooms of the genus Agaricus, whole, cut, sliced, broken or in powder but not further prepared, dried";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0061;G-LVL03-IDX-0540;HS-C-071232;071232;HS;Goods;C;"Vegetables; wood ears (Auricularia spp), whole, cut, sliced, broken or in powder but not further prepared, dried";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0061;G-LVL03-IDX-0541;HS-C-071233;071233;HS;Goods;C;"Vegetables; jelly fungi (Tremella spp)), whole, cut, sliced, broken or in powder but not further prepared, dried";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0061;G-LVL03-IDX-0542;HS-C-071234;071234;HS;Goods;C;"Vegetables; shiitake mushrooms (Lentinus edodes), whole, cut, sliced, broken or in powder but not further prepared, dried";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0061;G-LVL03-IDX-0543;HS-C-071239;071239;HS;Goods;C;"Vegetables; mushrooms and truffles n.e.c. in item 0712.3, whole, cut, sliced, broken or in powder but not further prepared, dried";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0061;G-LVL03-IDX-0544;HS-C-071290;071290;HS;Goods;C;"Vegetables; mixtures of vegetables n.e.c. in heading no. 0712, whole, cut, sliced, broken or in powder but not further prepared, dried";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0062;G-LVL03-IDX-0545;HS-C-071310;071310;HS;Goods;C;"Vegetables, leguminous; peas (pisum sativum), shelled, whether or not skinned or split, dried";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0062;G-LVL03-IDX-0546;HS-C-071320;071320;HS;Goods;C;"Vegetables, leguminous; chickpeas (garbanzos), shelled, whether or not skinned or split, dried";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0062;G-LVL03-IDX-0547;HS-C-071331;071331;HS;Goods;C;"Vegetables, leguminous; beans of the species vigna mungo (l.) hepper or vigna radiata (l.) wilczek, shelled, whether or not skinned or split, dried";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0062;G-LVL03-IDX-0548;HS-C-071332;071332;HS;Goods;C;"Vegetables, leguminous; small red (adzuki) beans (phaseolus or vigna angularis), shelled, whether or not skinned or split, dried";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0062;G-LVL03-IDX-0549;HS-C-071333;071333;HS;Goods;C;"Vegetables, leguminous; kidney beans, including white pea beans (phaseolus vulgaris), shelled, whether or not skinned or split, dried";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0062;G-LVL03-IDX-0550;HS-C-071334;071334;HS;Goods;C;"Vegetables, leguminous; bambara beans (Vigna subterranea or Voandzeia subterranea), shelled, whether or not skinned or split, dried";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0062;G-LVL03-IDX-0551;HS-C-071335;071335;HS;Goods;C;"Vegetables, leguminous; cow peas (Vigna unguiculata), shelled, whether or not skinned or split, dried";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0062;G-LVL03-IDX-0552;HS-C-071339;071339;HS;Goods;C;"Vegetables, leguminous; n.e.c. in item no. 0713.3, shelled, whether or not skinned or split, dried";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0062;G-LVL03-IDX-0553;HS-C-071340;071340;HS;Goods;C;"Vegetables, leguminous; lentils, shelled, whether or not skinned or split, dried";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0062;G-LVL03-IDX-0554;HS-C-071350;071350;HS;Goods;C;"Vegetables, leguminous; broad beans (vicia faba var. major) and horse beans (vicia faba var. equina, vicia faba var. minor), shelled, whether or not skinned or split, dried";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0062;G-LVL03-IDX-0555;HS-C-071360;071360;HS;Goods;C;"Vegetables, leguminous; pigeon peas (Cajanus cajan), shelled, whether or not skinned or split, dried";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0062;G-LVL03-IDX-0556;HS-C-071390;071390;HS;Goods;C;"Vegetables, leguminous; n.e.c. in heading no. 0713, shelled, whether or not skinned or split, dried";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0063;G-LVL03-IDX-0557;HS-C-071410;071410;HS;Goods;C;"Vegetable roots and tubers; manioc (cassava), with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0063;G-LVL03-IDX-0558;HS-C-071420;071420;HS;Goods;C;"Vegetable roots and tubers; sweet potatoes, with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0063;G-LVL03-IDX-0559;HS-C-071430;071430;HS;Goods;C;"Vegetable roots and tubers; yams (Dioscorea spp.) with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0063;G-LVL03-IDX-0560;HS-C-071440;071440;HS;Goods;C;"Vegetable roots and tubers; taro (Colocasia spp.) with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0063;G-LVL03-IDX-0561;HS-C-071450;071450;HS;Goods;C;"Vegetable roots and tubers; yautia (Xanthosoma spp.) with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0063;G-LVL03-IDX-0562;HS-C-071490;071490;HS;Goods;C;"Vegetable roots and tubers; arrowroot, salep, Jerusalem artichokes and similar roots and tubers (not manioc, sweet potatoes, yams, taro or yautia), high starch or inulin content, fresh, chilled, frozen, dried, sliced or not, or in pellet form; sago pith";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0064;G-LVL03-IDX-0563;HS-C-080110;080110;HS;Goods;C;Coconuts, fresh or dried;2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0064;G-LVL03-IDX-0564;HS-C-080111;080111;HS;Goods;C;"Nuts, edible; coconuts, desiccated";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0064;G-LVL03-IDX-0565;HS-C-080112;080112;HS;Goods;C;"Nuts, edible; coconuts, in the inner shell (endocarp)";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0064;G-LVL03-IDX-0566;HS-C-080119;080119;HS;Goods;C;"Nuts, edible; coconuts, fresh or dried, other than desiccated or in the inner shell (endocarp)";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0064;G-LVL03-IDX-0567;HS-C-080120;080120;HS;Goods;C;Brazil nuts, fresh or dried;2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0064;G-LVL03-IDX-0568;HS-C-080121;080121;HS;Goods;C;"Nuts, edible; brazil nuts, fresh or dried, in shell";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0064;G-LVL03-IDX-0569;HS-C-080122;080122;HS;Goods;C;"Nuts, edible; brazil nuts, fresh or dried, shelled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0064;G-LVL03-IDX-0570;HS-C-080130;080130;HS;Goods;C;Cashew nuts, fresh or dried;2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0064;G-LVL03-IDX-0571;HS-C-080131;080131;HS;Goods;C;"Nuts, edible; cashew nuts, fresh or dried, in shell";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0064;G-LVL03-IDX-0572;HS-C-080132;080132;HS;Goods;C;"Nuts, edible; cashew nuts, fresh or dried, shelled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0065;G-LVL03-IDX-0573;HS-C-080211;080211;HS;Goods;C;"Nuts, edible; almonds, fresh or dried, in shell";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0065;G-LVL03-IDX-0574;HS-C-080212;080212;HS;Goods;C;"Nuts, edible; almonds, fresh or dried, shelled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0065;G-LVL03-IDX-0575;HS-C-080221;080221;HS;Goods;C;"Nuts, edible; hazelnuts or filberts (corylus spp.), fresh or dried, in shell";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0065;G-LVL03-IDX-0576;HS-C-080222;080222;HS;Goods;C;"Nuts, edible; hazelnuts or filberts (corylus spp.), fresh or dried, shelled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0065;G-LVL03-IDX-0577;HS-C-080231;080231;HS;Goods;C;"Nuts, edible; walnuts, fresh or dried, in shell";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0065;G-LVL03-IDX-0578;HS-C-080232;080232;HS;Goods;C;"Nuts, edible; walnuts, fresh or dried, shelled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0065;G-LVL03-IDX-0579;HS-C-080240;080240;HS;Goods;C;Chestnuts (Castanea spp.);2023-06-27 13:59:10;Eastern Standard Time
