pk;pk_l1;pk_l2;pk_l3;un_pk_l0;un_pk_l1;un_pk_l2;un_pk_l3;un_code_l1;un_code_l2;un_code_l3;classificationDesc;classificationType;typeCode;desc_l1;desc_l2;desc_l3
G-LVL01-IDX-0022-G-LVL02-IDX-0193-G-LVL03-IDX-1140;G-LVL01-IDX-0022;G-LVL02-IDX-0193;G-LVL03-IDX-1140;HS-C-TOTAL;HS-C-23;HS-C-2303;HS-C-230330;23;2303;230330;HS;Goods;C;"Food industries, residues and wastes thereof; prepared animal fodder";"Residues of starch manufacture, similar residues; beet-pulp, bagasse and other waste of sugar manufacture, brewing or distilling dregs and waste, whether or not in the form of pellets";"Brewing or distilling dregs and waste; whether or not in the form of pellets"
G-LVL01-IDX-0022-G-LVL02-IDX-0194-G-LVL03-IDX-1141;G-LVL01-IDX-0022;G-LVL02-IDX-0194;G-LVL03-IDX-1141;HS-C-TOTAL;HS-C-23;HS-C-2304;HS-C-230400;23;2304;230400;HS;Goods;C;"Food industries, residues and wastes thereof; prepared animal fodder";"Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil";"Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil"
G-LVL01-IDX-0022-G-LVL02-IDX-0195-G-LVL03-IDX-1142;G-LVL01-IDX-0022;G-LVL02-IDX-0195;G-LVL03-IDX-1142;HS-C-TOTAL;HS-C-23;HS-C-2305;HS-C-230500;23;2305;230500;HS;Goods;C;"Food industries, residues and wastes thereof; prepared animal fodder";"Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of ground-nut oil";"Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of ground-nut oil"
G-LVL01-IDX-0022-G-LVL02-IDX-0196-G-LVL03-IDX-1143;G-LVL01-IDX-0022;G-LVL02-IDX-0196;G-LVL03-IDX-1143;HS-C-TOTAL;HS-C-23;HS-C-2306;HS-C-230610;23;2306;230610;HS;Goods;C;"Food industries, residues and wastes thereof; prepared animal fodder";"Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of vegetable or microbial fats or oils, other than those of heading no. 2304 or 2305";"Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of cotton seed oils"
G-LVL01-IDX-0022-G-LVL02-IDX-0196-G-LVL03-IDX-1144;G-LVL01-IDX-0022;G-LVL02-IDX-0196;G-LVL03-IDX-1144;HS-C-TOTAL;HS-C-23;HS-C-2306;HS-C-230620;23;2306;230620;HS;Goods;C;"Food industries, residues and wastes thereof; prepared animal fodder";"Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of vegetable or microbial fats or oils, other than those of heading no. 2304 or 2305";"Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of linseed oils"
G-LVL01-IDX-0022-G-LVL02-IDX-0196-G-LVL03-IDX-1145;G-LVL01-IDX-0022;G-LVL02-IDX-0196;G-LVL03-IDX-1145;HS-C-TOTAL;HS-C-23;HS-C-2306;HS-C-230630;23;2306;230630;HS;Goods;C;"Food industries, residues and wastes thereof; prepared animal fodder";"Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of vegetable or microbial fats or oils, other than those of heading no. 2304 or 2305";"Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of sunflower seed oils"
G-LVL01-IDX-0022-G-LVL02-IDX-0196-G-LVL03-IDX-1146;G-LVL01-IDX-0022;G-LVL02-IDX-0196;G-LVL03-IDX-1146;HS-C-TOTAL;HS-C-23;HS-C-2306;HS-C-230640;23;2306;230640;HS;Goods;C;"Food industries, residues and wastes thereof; prepared animal fodder";"Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of vegetable or microbial fats or oils, other than those of heading no. 2304 or 2305";Rape or colza seed oil-cake and other solid residues
G-LVL01-IDX-0022-G-LVL02-IDX-0196-G-LVL03-IDX-1147;G-LVL01-IDX-0022;G-LVL02-IDX-0196;G-LVL03-IDX-1147;HS-C-TOTAL;HS-C-23;HS-C-2306;HS-C-230641;23;2306;230641;HS;Goods;C;"Food industries, residues and wastes thereof; prepared animal fodder";"Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of vegetable or microbial fats or oils, other than those of heading no. 2304 or 2305";"Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of low erucic acid rape or colza seed oils"
G-LVL01-IDX-0022-G-LVL02-IDX-0196-G-LVL03-IDX-1148;G-LVL01-IDX-0022;G-LVL02-IDX-0196;G-LVL03-IDX-1148;HS-C-TOTAL;HS-C-23;HS-C-2306;HS-C-230649;23;2306;230649;HS;Goods;C;"Food industries, residues and wastes thereof; prepared animal fodder";"Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of vegetable or microbial fats or oils, other than those of heading no. 2304 or 2305";"Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of rape seed oils (other than low erucic acid rape or colza)"
G-LVL01-IDX-0022-G-LVL02-IDX-0196-G-LVL03-IDX-1149;G-LVL01-IDX-0022;G-LVL02-IDX-0196;G-LVL03-IDX-1149;HS-C-TOTAL;HS-C-23;HS-C-2306;HS-C-230650;23;2306;230650;HS;Goods;C;"Food industries, residues and wastes thereof; prepared animal fodder";"Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of vegetable or microbial fats or oils, other than those of heading no. 2304 or 2305";"Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of coconut or copra seed oils"
G-LVL01-IDX-0022-G-LVL02-IDX-0196-G-LVL03-IDX-1150;G-LVL01-IDX-0022;G-LVL02-IDX-0196;G-LVL03-IDX-1150;HS-C-TOTAL;HS-C-23;HS-C-2306;HS-C-230660;23;2306;230660;HS;Goods;C;"Food industries, residues and wastes thereof; prepared animal fodder";"Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of vegetable or microbial fats or oils, other than those of heading no. 2304 or 2305";"Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of palm nuts or kernels oils"
G-LVL01-IDX-0022-G-LVL02-IDX-0196-G-LVL03-IDX-1151;G-LVL01-IDX-0022;G-LVL02-IDX-0196;G-LVL03-IDX-1151;HS-C-TOTAL;HS-C-23;HS-C-2306;HS-C-230670;23;2306;230670;HS;Goods;C;"Food industries, residues and wastes thereof; prepared animal fodder";"Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of vegetable or microbial fats or oils, other than those of heading no. 2304 or 2305";Maize/corn germ oil-cake
G-LVL01-IDX-0022-G-LVL02-IDX-0196-G-LVL03-IDX-1152;G-LVL01-IDX-0022;G-LVL02-IDX-0196;G-LVL03-IDX-1152;HS-C-TOTAL;HS-C-23;HS-C-2306;HS-C-230690;23;2306;230690;HS;Goods;C;"Food industries, residues and wastes thereof; prepared animal fodder";"Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of vegetable or microbial fats or oils, other than those of heading no. 2304 or 2305";"Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of oils, n.e.c. in heading no. 2306"
G-LVL01-IDX-0022-G-LVL02-IDX-0197-G-LVL03-IDX-1153;G-LVL01-IDX-0022;G-LVL02-IDX-0197;G-LVL03-IDX-1153;HS-C-TOTAL;HS-C-23;HS-C-2307;HS-C-230700;23;2307;230700;HS;Goods;C;"Food industries, residues and wastes thereof; prepared animal fodder";"Wine lees; argol";"Wine lees; argol"
G-LVL01-IDX-0022-G-LVL02-IDX-0198-G-LVL03-IDX-1154;G-LVL01-IDX-0022;G-LVL02-IDX-0198;G-LVL03-IDX-1154;HS-C-TOTAL;HS-C-23;HS-C-2308;HS-C-230800;23;2308;230800;HS;Goods;C;"Food industries, residues and wastes thereof; prepared animal fodder";"Vegetable materials and vegetable waste, vegetable residues and bi-products; whether or not in the form of pellets, of a kind used in animal feeding, not elsewhere specified or included";"Vegetable materials and vegetable waste, vegetable residues and by-products; whether or not in the form of pellets, of a kind used in animal feeding, not elsewhere specified or included"
G-LVL01-IDX-0022-G-LVL02-IDX-0198-G-LVL03-IDX-1155;G-LVL01-IDX-0022;G-LVL02-IDX-0198;G-LVL03-IDX-1155;HS-C-TOTAL;HS-C-23;HS-C-2308;HS-C-230810;23;2308;230810;HS;Goods;C;"Food industries, residues and wastes thereof; prepared animal fodder";"Vegetable materials and vegetable waste, vegetable residues and bi-products; whether or not in the form of pellets, of a kind used in animal feeding, not elsewhere specified or included";Acorns and horse-chestnuts for animal feed
G-LVL01-IDX-0022-G-LVL02-IDX-0198-G-LVL03-IDX-1156;G-LVL01-IDX-0022;G-LVL02-IDX-0198;G-LVL03-IDX-1156;HS-C-TOTAL;HS-C-23;HS-C-2308;HS-C-230890;23;2308;230890;HS;Goods;C;"Food industries, residues and wastes thereof; prepared animal fodder";"Vegetable materials and vegetable waste, vegetable residues and bi-products; whether or not in the form of pellets, of a kind used in animal feeding, not elsewhere specified or included";Vegetable wastes and residues nes for animal feed
G-LVL01-IDX-0022-G-LVL02-IDX-0199-G-LVL03-IDX-1157;G-LVL01-IDX-0022;G-LVL02-IDX-0199;G-LVL03-IDX-1157;HS-C-TOTAL;HS-C-23;HS-C-2309;HS-C-230910;23;2309;230910;HS;Goods;C;"Food industries, residues and wastes thereof; prepared animal fodder";Preparations of a kind used in animal feeding;"Dog or cat food; put up for retail sale, used in animal feeding"
G-LVL01-IDX-0022-G-LVL02-IDX-0199-G-LVL03-IDX-1158;G-LVL01-IDX-0022;G-LVL02-IDX-0199;G-LVL03-IDX-1158;HS-C-TOTAL;HS-C-23;HS-C-2309;HS-C-230990;23;2309;230990;HS;Goods;C;"Food industries, residues and wastes thereof; prepared animal fodder";Preparations of a kind used in animal feeding;"Dog or cat food; (not put up for retail sale), used in animal feeding"
G-LVL01-IDX-0023-G-LVL02-IDX-0200-G-LVL03-IDX-1159;G-LVL01-IDX-0023;G-LVL02-IDX-0200;G-LVL03-IDX-1159;HS-C-TOTAL;HS-C-24;HS-C-2401;HS-C-240110;24;2401;240110;HS;Goods;C;"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body";"Tobacco, unmanufactured; tobacco refuse";Tobacco, (not stemmed or stripped)
G-LVL01-IDX-0023-G-LVL02-IDX-0200-G-LVL03-IDX-1160;G-LVL01-IDX-0023;G-LVL02-IDX-0200;G-LVL03-IDX-1160;HS-C-TOTAL;HS-C-24;HS-C-2401;HS-C-240120;24;2401;240120;HS;Goods;C;"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body";"Tobacco, unmanufactured; tobacco refuse";"Tobacco; partly or wholly stemmed or stripped"
G-LVL01-IDX-0023-G-LVL02-IDX-0200-G-LVL03-IDX-1161;G-LVL01-IDX-0023;G-LVL02-IDX-0200;G-LVL03-IDX-1161;HS-C-TOTAL;HS-C-24;HS-C-2401;HS-C-240130;24;2401;240130;HS;Goods;C;"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body";"Tobacco, unmanufactured; tobacco refuse";Tobacco refuse
G-LVL01-IDX-0023-G-LVL02-IDX-0201-G-LVL03-IDX-1162;G-LVL01-IDX-0023;G-LVL02-IDX-0201;G-LVL03-IDX-1162;HS-C-TOTAL;HS-C-24;HS-C-2402;HS-C-240210;24;2402;240210;HS;Goods;C;"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body";"Cigars, cheroots, cigarillos and cigarettes; of tobacco or of tobacco substitutes";"Cigars, cheroots and cigarillos; containing tobacco including the weight of every band, wrapper or attachment thereto"
G-LVL01-IDX-0023-G-LVL02-IDX-0201-G-LVL03-IDX-1163;G-LVL01-IDX-0023;G-LVL02-IDX-0201;G-LVL03-IDX-1163;HS-C-TOTAL;HS-C-24;HS-C-2402;HS-C-240220;24;2402;240220;HS;Goods;C;"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body";"Cigars, cheroots, cigarillos and cigarettes; of tobacco or of tobacco substitutes";"Cigarettes; containing tobacco"
G-LVL01-IDX-0023-G-LVL02-IDX-0201-G-LVL03-IDX-1164;G-LVL01-IDX-0023;G-LVL02-IDX-0201;G-LVL03-IDX-1164;HS-C-TOTAL;HS-C-24;HS-C-2402;HS-C-240290;24;2402;240290;HS;Goods;C;"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body";"Cigars, cheroots, cigarillos and cigarettes; of tobacco or of tobacco substitutes";"Cigars, cigarillos and cheroots; containing tobacco substitutes including the weight of every band, wrapper or attachment thereto"
G-LVL01-IDX-0023-G-LVL02-IDX-0202-G-LVL03-IDX-1165;G-LVL01-IDX-0023;G-LVL02-IDX-0202;G-LVL03-IDX-1165;HS-C-TOTAL;HS-C-24;HS-C-2403;HS-C-240310;24;2403;240310;HS;Goods;C;"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body";"Manufactured tobacco and manufactured tobacco substitutes n.e.c; homogenised or reconstituted tobacco; tobacco extracts and essences";Smoking tobacco, whether/not containing tobacco substitutes in any proportion
G-LVL01-IDX-0023-G-LVL02-IDX-0202-G-LVL03-IDX-1166;G-LVL01-IDX-0023;G-LVL02-IDX-0202;G-LVL03-IDX-1166;HS-C-TOTAL;HS-C-24;HS-C-2403;HS-C-240311;24;2403;240311;HS;Goods;C;"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body";"Manufactured tobacco and manufactured tobacco substitutes n.e.c; homogenised or reconstituted tobacco; tobacco extracts and essences";"Tobacco; smoking, water pipe tobacco as specified in Subheading Note 1 to this Chapter, whether or not containing tobacco substitutes in any proportion"
G-LVL01-IDX-0023-G-LVL02-IDX-0202-G-LVL03-IDX-1167;G-LVL01-IDX-0023;G-LVL02-IDX-0202;G-LVL03-IDX-1167;HS-C-TOTAL;HS-C-24;HS-C-2403;HS-C-240319;24;2403;240319;HS;Goods;C;"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body";"Manufactured tobacco and manufactured tobacco substitutes n.e.c; homogenised or reconstituted tobacco; tobacco extracts and essences";"Tobacco; smoking, other than water pipe tobacco, whether or not containing tobacco substitutes in any proportion"
G-LVL01-IDX-0023-G-LVL02-IDX-0202-G-LVL03-IDX-1168;G-LVL01-IDX-0023;G-LVL02-IDX-0202;G-LVL03-IDX-1168;HS-C-TOTAL;HS-C-24;HS-C-2403;HS-C-240391;24;2403;240391;HS;Goods;C;"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body";"Manufactured tobacco and manufactured tobacco substitutes n.e.c; homogenised or reconstituted tobacco; tobacco extracts and essences";"Tobacco; homogenised or reconstituted"
G-LVL01-IDX-0023-G-LVL02-IDX-0202-G-LVL03-IDX-1169;G-LVL01-IDX-0023;G-LVL02-IDX-0202;G-LVL03-IDX-1169;HS-C-TOTAL;HS-C-24;HS-C-2403;HS-C-240399;24;2403;240399;HS;Goods;C;"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body";"Manufactured tobacco and manufactured tobacco substitutes n.e.c; homogenised or reconstituted tobacco; tobacco extracts and essences";"Tobacco; other than homogenised or reconstituted or smoking"
G-LVL01-IDX-0023-G-LVL02-IDX-0203-G-LVL03-IDX-1170;G-LVL01-IDX-0023;G-LVL02-IDX-0203;G-LVL03-IDX-1170;HS-C-TOTAL;HS-C-24;HS-C-2404;HS-C-240411;24;2404;240411;HS;Goods;C;"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body";"Products containing tobacco, reconstituted tobacco, nicotine, or tobacco or nicotine substitutes, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body";Products containing tobacco or reconstituted tobacco, intended for inhalation without combustion
G-LVL01-IDX-0023-G-LVL02-IDX-0203-G-LVL03-IDX-1171;G-LVL01-IDX-0023;G-LVL02-IDX-0203;G-LVL03-IDX-1171;HS-C-TOTAL;HS-C-24;HS-C-2404;HS-C-240412;24;2404;240412;HS;Goods;C;"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body";"Products containing tobacco, reconstituted tobacco, nicotine, or tobacco or nicotine substitutes, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body";Products containing nicotine, other than tobacco or reconstituted tobacco, intended for inhalation without combustion
G-LVL01-IDX-0023-G-LVL02-IDX-0203-G-LVL03-IDX-1172;G-LVL01-IDX-0023;G-LVL02-IDX-0203;G-LVL03-IDX-1172;HS-C-TOTAL;HS-C-24;HS-C-2404;HS-C-240419;24;2404;240419;HS;Goods;C;"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body";"Products containing tobacco, reconstituted tobacco, nicotine, or tobacco or nicotine substitutes, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body";Products containing tobacco or nicotine substitutes, intended for inhalation without combustion
G-LVL01-IDX-0023-G-LVL02-IDX-0203-G-LVL03-IDX-1173;G-LVL01-IDX-0023;G-LVL02-IDX-0203;G-LVL03-IDX-1173;HS-C-TOTAL;HS-C-24;HS-C-2404;HS-C-240491;24;2404;240491;HS;Goods;C;"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body";"Products containing tobacco, reconstituted tobacco, nicotine, or tobacco or nicotine substitutes, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body";Products n.e.c. in heading 2404, intended for the intake of nicotine into the human body, for oral application
G-LVL01-IDX-0023-G-LVL02-IDX-0203-G-LVL03-IDX-1174;G-LVL01-IDX-0023;G-LVL02-IDX-0203;G-LVL03-IDX-1174;HS-C-TOTAL;HS-C-24;HS-C-2404;HS-C-240492;24;2404;240492;HS;Goods;C;"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body";"Products containing tobacco, reconstituted tobacco, nicotine, or tobacco or nicotine substitutes, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body";Products n.e.c. in heading 2404, intended for the intake of nicotine into the human body, for transdermal application
G-LVL01-IDX-0023-G-LVL02-IDX-0203-G-LVL03-IDX-1175;G-LVL01-IDX-0023;G-LVL02-IDX-0203;G-LVL03-IDX-1175;HS-C-TOTAL;HS-C-24;HS-C-2404;HS-C-240499;24;2404;240499;HS;Goods;C;"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body";"Products containing tobacco, reconstituted tobacco, nicotine, or tobacco or nicotine substitutes, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body";Products n.e.c. in heading 2404, intended for the intake of nicotine into the human body, by ways other than inhalation, and other than oral or transdermal application
G-LVL01-IDX-0024-G-LVL02-IDX-0204-G-LVL03-IDX-1176;G-LVL01-IDX-0024;G-LVL02-IDX-0204;G-LVL03-IDX-1176;HS-C-TOTAL;HS-C-25;HS-C-2501;HS-C-250100;25;2501;250100;HS;Goods;C;"Salt; sulphur; earths, stone; plastering materials, lime and cement";"Salt (including table salt and denatured salt); pure sodium chloride whether or not in aqueous solution; sea water";"Salt (including table salt and denatured salt); pure sodium chloride whether or not in aqueous solution; sea water"
G-LVL01-IDX-0024-G-LVL02-IDX-0205-G-LVL03-IDX-1177;G-LVL01-IDX-0024;G-LVL02-IDX-0205;G-LVL03-IDX-1177;HS-C-TOTAL;HS-C-25;HS-C-2502;HS-C-250200;25;2502;250200;HS;Goods;C;"Salt; sulphur; earths, stone; plastering materials, lime and cement";"Iron pyrites; unroasted";"Iron pyrites; unroasted"
G-LVL01-IDX-0024-G-LVL02-IDX-0206-G-LVL03-IDX-1178;G-LVL01-IDX-0024;G-LVL02-IDX-0206;G-LVL03-IDX-1178;HS-C-TOTAL;HS-C-25;HS-C-2503;HS-C-250300;25;2503;250300;HS;Goods;C;"Salt; sulphur; earths, stone; plastering materials, lime and cement";"Sulphur of all kinds; other than sublimed, precipitated and colloidal sulphur";"Sulphur of all kinds; other than sublimed, precipitated and colloidal sulphur"
G-LVL01-IDX-0024-G-LVL02-IDX-0206-G-LVL03-IDX-1179;G-LVL01-IDX-0024;G-LVL02-IDX-0206;G-LVL03-IDX-1179;HS-C-TOTAL;HS-C-25;HS-C-2503;HS-C-250310;25;2503;250310;HS;Goods;C;"Salt; sulphur; earths, stone; plastering materials, lime and cement";"Sulphur of all kinds; other than sublimed, precipitated and colloidal sulphur";Sulphur, crude or unrefined
G-LVL01-IDX-0024-G-LVL02-IDX-0206-G-LVL03-IDX-1180;G-LVL01-IDX-0024;G-LVL02-IDX-0206;G-LVL03-IDX-1180;HS-C-TOTAL;HS-C-25;HS-C-2503;HS-C-250390;25;2503;250390;HS;Goods;C;"Salt; sulphur; earths, stone; plastering materials, lime and cement";"Sulphur of all kinds; other than sublimed, precipitated and colloidal sulphur";refined sulphur, not sublimate, precipitate, colloida
G-LVL01-IDX-0024-G-LVL02-IDX-0207-G-LVL03-IDX-1181;G-LVL01-IDX-0024;G-LVL02-IDX-0207;G-LVL03-IDX-1181;HS-C-TOTAL;HS-C-25;HS-C-2504;HS-C-250410;25;2504;250410;HS;Goods;C;"Salt; sulphur; earths, stone; plastering materials, lime and cement";"Graphite; natural";"Graphite; natural, in powder or in flakes"
G-LVL01-IDX-0024-G-LVL02-IDX-0207-G-LVL03-IDX-1182;G-LVL01-IDX-0024;G-LVL02-IDX-0207;G-LVL03-IDX-1182;HS-C-TOTAL;HS-C-25;HS-C-2504;HS-C-250490;25;2504;250490;HS;Goods;C;"Salt; sulphur; earths, stone; plastering materials, lime and cement";"Graphite; natural";"Graphite; natural, in other forms, excluding powder or flakes"
G-LVL01-IDX-0024-G-LVL02-IDX-0208-G-LVL03-IDX-1183;G-LVL01-IDX-0024;G-LVL02-IDX-0208;G-LVL03-IDX-1183;HS-C-TOTAL;HS-C-25;HS-C-2505;HS-C-250510;25;2505;250510;HS;Goods;C;"Salt; sulphur; earths, stone; plastering materials, lime and cement";"Sands of all kinds; natural, whether or not coloured, other than metal-bearing sands of chapter 26";"Sands; natural, silica and quartz sands, whether or not coloured"
G-LVL01-IDX-0024-G-LVL02-IDX-0208-G-LVL03-IDX-1184;G-LVL01-IDX-0024;G-LVL02-IDX-0208;G-LVL03-IDX-1184;HS-C-TOTAL;HS-C-25;HS-C-2505;HS-C-250590;25;2505;250590;HS;Goods;C;"Salt; sulphur; earths, stone; plastering materials, lime and cement";"Sands of all kinds; natural, whether or not coloured, other than metal-bearing sands of chapter 26";"Sands; natural, (other than silica and quartz sands), whether or not coloured, (other than metal-bearing sands of chapter 26)"
G-LVL01-IDX-0024-G-LVL02-IDX-0209-G-LVL03-IDX-1185;G-LVL01-IDX-0024;G-LVL02-IDX-0209;G-LVL03-IDX-1185;HS-C-TOTAL;HS-C-25;HS-C-2506;HS-C-250610;25;2506;250610;HS;Goods;C;"Salt; sulphur; earths, stone; plastering materials, lime and cement";"Quartz; (other than natural sands), quartzite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape";"Quartz; other than natural sands"
G-LVL01-IDX-0024-G-LVL02-IDX-0209-G-LVL03-IDX-1186;G-LVL01-IDX-0024;G-LVL02-IDX-0209;G-LVL03-IDX-1186;HS-C-TOTAL;HS-C-25;HS-C-2506;HS-C-250620;25;2506;250620;HS;Goods;C;"Salt; sulphur; earths, stone; plastering materials, lime and cement";"Quartz; (other than natural sands), quartzite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape";"Quartzite; whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape"
G-LVL01-IDX-0024-G-LVL02-IDX-0209-G-LVL03-IDX-1187;G-LVL01-IDX-0024;G-LVL02-IDX-0209;G-LVL03-IDX-1187;HS-C-TOTAL;HS-C-25;HS-C-2506;HS-C-250621;25;2506;250621;HS;Goods;C;"Salt; sulphur; earths, stone; plastering materials, lime and cement";"Quartz; (other than natural sands), quartzite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape";Quartzite, crude or roughly trimmed
G-LVL01-IDX-0024-G-LVL02-IDX-0209-G-LVL03-IDX-1188;G-LVL01-IDX-0024;G-LVL02-IDX-0209;G-LVL03-IDX-1188;HS-C-TOTAL;HS-C-25;HS-C-2506;HS-C-250629;25;2506;250629;HS;Goods;C;"Salt; sulphur; earths, stone; plastering materials, lime and cement";"Quartz; (other than natural sands), quartzite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape";Quartzite, slabs etc.
G-LVL01-IDX-0024-G-LVL02-IDX-0210-G-LVL03-IDX-1189;G-LVL01-IDX-0024;G-LVL02-IDX-0210;G-LVL03-IDX-1189;HS-C-TOTAL;HS-C-25;HS-C-2507;HS-C-250700;25;2507;250700;HS;Goods;C;"Salt; sulphur; earths, stone; plastering materials, lime and cement";"Kaolin and other kaolinic clays; whether or not calcined";"Kaolin and other kaolinic clays; whether or not calcined"
G-LVL01-IDX-0024-G-LVL02-IDX-0211-G-LVL03-IDX-1190;G-LVL01-IDX-0024;G-LVL02-IDX-0211;G-LVL03-IDX-1190;HS-C-TOTAL;HS-C-25;HS-C-2508;HS-C-250810;25;2508;250810;HS;Goods;C;"Salt; sulphur; earths, stone; plastering materials, lime and cement";"Clays; (not including expanded clays of heading no. 6806), andalusite kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earth";"Clays (excluding expanded clays of heading no. 6806); bentonite, whether or not calcined"
G-LVL01-IDX-0024-G-LVL02-IDX-0211-G-LVL03-IDX-1191;G-LVL01-IDX-0024;G-LVL02-IDX-0211;G-LVL03-IDX-1191;HS-C-TOTAL;HS-C-25;HS-C-2508;HS-C-250820;25;2508;250820;HS;Goods;C;"Salt; sulphur; earths, stone; plastering materials, lime and cement";"Clays; (not including expanded clays of heading no. 6806), andalusite kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earth";Decolourising earths and fuller's earth
G-LVL01-IDX-0024-G-LVL02-IDX-0211-G-LVL03-IDX-1192;G-LVL01-IDX-0024;G-LVL02-IDX-0211;G-LVL03-IDX-1192;HS-C-TOTAL;HS-C-25;HS-C-2508;HS-C-250830;25;2508;250830;HS;Goods;C;"Salt; sulphur; earths, stone; plastering materials, lime and cement";"Clays; (not including expanded clays of heading no. 6806), andalusite kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earth";"Clays (excluding expanded clays of heading no. 6806); fireclay, whether or not calcined"
