pk;pk_l1;pk_l2;pk_l3;un_pk_l0;un_pk_l1;un_pk_l2;un_pk_l3;un_code_l1;un_code_l2;un_code_l3;classificationDesc;classificationType;typeCode;desc_l1;desc_l2;desc_l3
S-LVL01-IDX-0005-S-LVL02-IDX-0004-S-LVL03-IDX-0011;S-LVL01-IDX-0005;S-LVL02-IDX-0004;S-LVL03-IDX-0011;EBOPS 2010-S-10;EBOPS 2010-S-10.3;EBOPS 2010-S-10.3.1;EBOPS 2010-S-10.3.1.2;10.3;10.3.1;10.3.1.2;EBOPS 2010;Services;S;Technical, trade-related and other business services;Architectural, engineering, scientific, and other technical services;Engineering services
S-LVL01-IDX-0005-S-LVL02-IDX-0004-S-LVL03-IDX-0012;S-LVL01-IDX-0005;S-LVL02-IDX-0004;S-LVL03-IDX-0012;EBOPS 2010-S-10;EBOPS 2010-S-10.3;EBOPS 2010-S-10.3.1;EBOPS 2010-S-10.3.1.3;10.3;10.3.1;10.3.1.3;EBOPS 2010;Services;S;Technical, trade-related and other business services;Architectural, engineering, scientific, and other technical services;Scientific and other technical services
S-LVL01-IDX-0005-S-LVL02-IDX-0005-S-LVL03-IDX-0013;S-LVL01-IDX-0005;S-LVL02-IDX-0005;S-LVL03-IDX-0013;EBOPS 2010-S-10;EBOPS 2010-S-10.3;EBOPS 2010-S-10.3.2;EBOPS 2010-S-10.3.2.1;10.3;10.3.2;10.3.2.1;EBOPS 2010;Services;S;Technical, trade-related and other business services;Waste treatment and de-pollution, agricultural and mining services;Waste treatment and de-pollution
S-LVL01-IDX-0005-S-LVL02-IDX-0005-S-LVL03-IDX-0014;S-LVL01-IDX-0005;S-LVL02-IDX-0005;S-LVL03-IDX-0014;EBOPS 2010-S-10;EBOPS 2010-S-10.3;EBOPS 2010-S-10.3.2;EBOPS 2010-S-10.3.2.2;10.3;10.3.2;10.3.2.2;EBOPS 2010;Services;S;Technical, trade-related and other business services;Waste treatment and de-pollution, agricultural and mining services;Services incidental to agriculture, forestry and fishing
S-LVL01-IDX-0005-S-LVL02-IDX-0005-S-LVL03-IDX-0015;S-LVL01-IDX-0005;S-LVL02-IDX-0005;S-LVL03-IDX-0015;EBOPS 2010-S-10;EBOPS 2010-S-10.3;EBOPS 2010-S-10.3.2;EBOPS 2010-S-10.3.2.3;10.3;10.3.2;10.3.2.3;EBOPS 2010;Services;S;Technical, trade-related and other business services;Waste treatment and de-pollution, agricultural and mining services;Services incidental to mining, and oil and gas extraction
S-LVL01-IDX-0005-S-LVL02-IDX-0006;S-LVL01-IDX-0005;S-LVL02-IDX-0006;;EBOPS 2010-S-10;EBOPS 2010-S-10.3;EBOPS 2010-S-10.3.3;;10.3;10.3.3;;EBOPS 2010;Services;S;Technical, trade-related and other business services;Operating leasing services;
S-LVL01-IDX-0005-S-LVL02-IDX-0007;S-LVL01-IDX-0005;S-LVL02-IDX-0007;;EBOPS 2010-S-10;EBOPS 2010-S-10.3;EBOPS 2010-S-10.3.4;;10.3;10.3.4;;EBOPS 2010;Services;S;Technical, trade-related and other business services;Trade-related services;
S-LVL01-IDX-0005-S-LVL02-IDX-0008-S-LVL03-IDX-0016;S-LVL01-IDX-0005;S-LVL02-IDX-0008;S-LVL03-IDX-0016;EBOPS 2010-S-10;EBOPS 2010-S-10.3;EBOPS 2010-S-10.3.5;EBOPS 2010-S-10.3.5.1;10.3;10.3.5;10.3.5.1;EBOPS 2010;Services;S;Technical, trade-related and other business services;Other business services n.i.e.;Of which: Employment services, i.e., search, placement and supply services of personnel
S-LVL01-IDX-0006-S-LVL02-IDX-0009-S-LVL03-IDX-0017;S-LVL01-IDX-0006;S-LVL02-IDX-0009;S-LVL03-IDX-0017;EBOPS 2010-S-11;EBOPS 2010-S-11.1;EBOPS 2010-S-11.1.1;EBOPS 2010-S-11.1.1.a;11.1;11.1.1;11.1.1.a;EBOPS 2010;Services;S;Audio-visual and related services;Audio-visual services;Of which: Audio-visual originals
S-LVL01-IDX-0006-S-LVL02-IDX-0010;S-LVL01-IDX-0006;S-LVL02-IDX-0010;;EBOPS 2010-S-11;EBOPS 2010-S-11.1;EBOPS 2010-S-11.1.2;;11.1;11.1.2;;EBOPS 2010;Services;S;Audio-visual and related services;Artistic related services;
S-LVL01-IDX-0007-S-LVL02-IDX-0011;S-LVL01-IDX-0007;S-LVL02-IDX-0011;;EBOPS 2010-S-11;EBOPS 2010-S-11.2;EBOPS 2010-S-11.2.1;;11.2;11.2.1;;EBOPS 2010;Services;S;Other personal, cultural, and recreational services;Health services;
S-LVL01-IDX-0007-S-LVL02-IDX-0012;S-LVL01-IDX-0007;S-LVL02-IDX-0012;;EBOPS 2010-S-11;EBOPS 2010-S-11.2;EBOPS 2010-S-11.2.2;;11.2;11.2.2;;EBOPS 2010;Services;S;Other personal, cultural, and recreational services;Education services;
S-LVL01-IDX-0007-S-LVL02-IDX-0013;S-LVL01-IDX-0007;S-LVL02-IDX-0013;;EBOPS 2010-S-11;EBOPS 2010-S-11.2;EBOPS 2010-S-11.2.3;;11.2;11.2.3;;EBOPS 2010;Services;S;Other personal, cultural, and recreational services;Heritage and recreational services;
S-LVL01-IDX-0007-S-LVL02-IDX-0014;S-LVL01-IDX-0007;S-LVL02-IDX-0014;;EBOPS 2010-S-11;EBOPS 2010-S-11.2;EBOPS 2010-S-11.2.4;;11.2;11.2.4;;EBOPS 2010;Services;S;Other personal, cultural, and recreational services;Other personal services;
S-LVL01-IDX-0008;S-LVL01-IDX-0008;;;EBOPS 2010-S-12;EBOPS 2010-S-12.1;;;12.1;;;EBOPS 2010;Services;S;Embassies and consulates;;
S-LVL01-IDX-0009;S-LVL01-IDX-0009;;;EBOPS 2010-S-12;EBOPS 2010-S-12.2;;;12.2;;;EBOPS 2010;Services;S;Military units and agencies;;
S-LVL01-IDX-0010;S-LVL01-IDX-0010;;;EBOPS 2010-S-12;EBOPS 2010-S-12.3;;;12.3;;;EBOPS 2010;Services;S;Other government goods and services n.i.e.;;
S-LVL01-IDX-0011-S-LVL02-IDX-0015-S-LVL03-IDX-0018;S-LVL01-IDX-0011;S-LVL02-IDX-0015;S-LVL03-IDX-0018;EBOPS 2010-S-3;EBOPS 2010-S-3.1;EBOPS 2010-S-3.1.1;EBOPS 2010-S-3.1.1.a;3.1;3.1.1;3.1.1.a;EBOPS 2010;Services;S;Sea transport;Passenger;Of which: Payable by border, seasonal, and other short-term workers
S-LVL01-IDX-0011-S-LVL02-IDX-0016;S-LVL01-IDX-0011;S-LVL02-IDX-0016;;EBOPS 2010-S-3;EBOPS 2010-S-3.1;EBOPS 2010-S-3.1.2;;3.1;3.1.2;;EBOPS 2010;Services;S;Sea transport;Freight;
S-LVL01-IDX-0011-S-LVL02-IDX-0017;S-LVL01-IDX-0011;S-LVL02-IDX-0017;;EBOPS 2010-S-3;EBOPS 2010-S-3.1;EBOPS 2010-S-3.1.3;;3.1;3.1.3;;EBOPS 2010;Services;S;Sea transport;Other;
S-LVL01-IDX-0012;S-LVL01-IDX-0012;;;EBOPS 2010-S-3;EBOPS 2010-S-3.10;;;3.10;;;EBOPS 2010;Services;S;Electricity transmission;;
S-LVL01-IDX-0013;S-LVL01-IDX-0013;;;EBOPS 2010-S-3;EBOPS 2010-S-3.11;;;3.11;;;EBOPS 2010;Services;S;Other supporting and auxiliary transport services;;
S-LVL01-IDX-0014-S-LVL02-IDX-0018-S-LVL03-IDX-0019;S-LVL01-IDX-0014;S-LVL02-IDX-0018;S-LVL03-IDX-0019;EBOPS 2010-S-3;EBOPS 2010-S-3.2;EBOPS 2010-S-3.2.1;EBOPS 2010-S-3.2.1.a;3.2;3.2.1;3.2.1.a;EBOPS 2010;Services;S;Air transport;Passenger;Of which: Payable by border, seasonal, and other short-term workers
