pk_l1;un_pk_l1;un_code_l1;classificationDesc;classificationType;typeCode;desc_l1
G-LVL01-IDX-0008;HS-C-09;09;HS;Goods;C;Coffee, tea, mate and spices
G-LVL01-IDX-0009;HS-C-10;10;HS;Goods;C;Cereals
G-LVL01-IDX-0010;HS-C-11;11;HS;Goods;C;"Products of the milling industry; malt, starches, inulin, wheat gluten"
G-LVL01-IDX-0011;HS-C-12;12;HS;Goods;C;"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder"
G-LVL01-IDX-0012;HS-C-13;13;HS;Goods;C;"Lac; gums, resins and other vegetable saps and extracts"
G-LVL01-IDX-0013;HS-C-14;14;HS;Goods;C;"Vegetable plaiting materials; vegetable products not elsewhere specified or included"
G-LVL01-IDX-0014;HS-C-15;15;HS;Goods;C;"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes"
G-LVL01-IDX-0015;HS-C-16;16;HS;Goods;C;"Meat, fish, crustaceans, molluscs or other aquatic invertebrates, or insects; preparations thereof"
G-LVL01-IDX-0016;HS-C-17;17;HS;Goods;C;Sugars and sugar confectionery
G-LVL01-IDX-0017;HS-C-18;18;HS;Goods;C;Cocoa and cocoa preparations
G-LVL01-IDX-0018;HS-C-19;19;HS;Goods;C;"Preparations of cereals, flour, starch or milk; pastrycooks' products"
G-LVL01-IDX-0019;HS-C-20;20;HS;Goods;C;Preparations of vegetables, fruit, nuts or other parts of plants
G-LVL01-IDX-0020;HS-C-21;21;HS;Goods;C;Miscellaneous edible preparations
G-LVL01-IDX-0021;HS-C-22;22;HS;Goods;C;Beverages, spirits and vinegar
G-LVL01-IDX-0022;HS-C-23;23;HS;Goods;C;"Food industries, residues and wastes thereof; prepared animal fodder"
G-LVL01-IDX-0023;HS-C-24;24;HS;Goods;C;"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body"
G-LVL01-IDX-0024;HS-C-25;25;HS;Goods;C;"Salt; sulphur; earths, stone; plastering materials, lime and cement"
G-LVL01-IDX-0025;HS-C-26;26;HS;Goods;C;Ores, slag and ash
G-LVL01-IDX-0026;HS-C-27;27;HS;Goods;C;"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes"
G-LVL01-IDX-0027;HS-C-28;28;HS;Goods;C;"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes"
G-LVL01-IDX-0028;HS-C-29;29;HS;Goods;C;Organic chemicals
G-LVL01-IDX-0029;HS-C-30;30;HS;Goods;C;Pharmaceutical products
G-LVL01-IDX-0030;HS-C-31;31;HS;Goods;C;Fertilizers
G-LVL01-IDX-0031;HS-C-32;32;HS;Goods;C;"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks"
G-LVL01-IDX-0032;HS-C-33;33;HS;Goods;C;"Essential oils and resinoids; perfumery, cosmetic or toilet preparations"
G-LVL01-IDX-0033;HS-C-34;34;HS;Goods;C;"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster"
G-LVL01-IDX-0034;HS-C-35;35;HS;Goods;C;"Albuminoidal substances; modified starches; glues; enzymes"
G-LVL01-IDX-0035;HS-C-36;36;HS;Goods;C;"Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations"
G-LVL01-IDX-0036;HS-C-37;37;HS;Goods;C;Photographic or cinematographic goods
G-LVL01-IDX-0037;HS-C-38;38;HS;Goods;C;Chemical products n.e.c.
G-LVL01-IDX-0038;HS-C-39;39;HS;Goods;C;Plastics and articles thereof
G-LVL01-IDX-0039;HS-C-40;40;HS;Goods;C;Rubber and articles thereof
G-LVL01-IDX-0040;HS-C-41;41;HS;Goods;C;Raw hides and skins (other than furskins) and leather
G-LVL01-IDX-0041;HS-C-42;42;HS;Goods;C;"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)"
G-LVL01-IDX-0042;HS-C-43;43;HS;Goods;C;"Furskins and artificial fur; manufactures thereof"
G-LVL01-IDX-0043;HS-C-44;44;HS;Goods;C;"Wood and articles of wood; wood charcoal"
G-LVL01-IDX-0044;HS-C-45;45;HS;Goods;C;Cork and articles of cork
G-LVL01-IDX-0045;HS-C-46;46;HS;Goods;C;"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork"
G-LVL01-IDX-0046;HS-C-47;47;HS;Goods;C;"Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard"
G-LVL01-IDX-0047;HS-C-48;48;HS;Goods;C;"Paper and paperboard; articles of paper pulp, of paper or paperboard"
G-LVL01-IDX-0048;HS-C-49;49;HS;Goods;C;"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans"
G-LVL01-IDX-0049;HS-C-50;50;HS;Goods;C;Silk
G-LVL01-IDX-0050;HS-C-51;51;HS;Goods;C;"Wool, fine or coarse animal hair; horsehair yarn and woven fabric"
G-LVL01-IDX-0051;HS-C-52;52;HS;Goods;C;Cotton
G-LVL01-IDX-0052;HS-C-53;53;HS;Goods;C;"Vegetable textile fibres; paper yarn and woven fabrics of paper yarn"
G-LVL01-IDX-0053;HS-C-54;54;HS;Goods;C;"Man-made filaments; strip and the like of man-made textile materials"
G-LVL01-IDX-0054;HS-C-55;55;HS;Goods;C;Man-made staple fibres
G-LVL01-IDX-0055;HS-C-56;56;HS;Goods;C;"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof"
G-LVL01-IDX-0056;HS-C-57;57;HS;Goods;C;Carpets and other textile floor coverings
G-LVL01-IDX-0057;HS-C-58;58;HS;Goods;C;"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery"
G-LVL01-IDX-0058;HS-C-59;59;HS;Goods;C;"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use"
G-LVL01-IDX-0059;HS-C-60;60;HS;Goods;C;"Fabrics; knitted or crocheted"
G-LVL01-IDX-0060;HS-C-61;61;HS;Goods;C;"Apparel and clothing accessories; knitted or crocheted"
