id;text;updateMark;updateMark_TZ
A;Annual;2023-06-27 13:59:10;Eastern Standard Time
Q;Quaterly;2023-06-27 13:59:10;Eastern Standard Time
M;Monthly;2023-06-27 13:59:10;Eastern Standard Time
